title,speakers,description,link,video,thumbnail
Hosted Web Apps Myth #7:  Hosted Web Apps Can’t Access Hardware,"Jeff Burtoft, Kiril Seksenov","Hosted Web Apps on Windows 10 can do more than ever before but that isn’t always clear. People often times have thoughts and questions similar to these: “can I call native APIs form JS on the web?”, “it can’t be that simple”, “websites don’t look like apps”, “how can my web code work offline?”, “web apps have slow UI” and more. This session will take the top 10 myths surrounding Hosted Web Apps and debunk them through code samples, demos and videos. It will cover how Hosted Web Apps can exemplify a range of native app features from offline capabilities to fast, fluid and responsive UI. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:aa198b61d67d46b2ae34a5d900c2a29b"" />",https://s.ch9.ms/Events/Build/2016/P450,Hosted_Web_Apps_Myth_7_Hosted_Web_Apps_Can’t_Access_Hardware.mp4,http://video.ch9.ms/ch9/b328/3b27979c-6a4e-44c2-9968-64f12053b328/P450_220.jpg
Hosted Web Apps Myth #6: Hosted Web Apps Can’t Run in the Background,"Jeff Burtoft, Kiril Seksenov","Hosted Web Apps on Windows 10 can do more than ever before but that isn’t always clear. People often times have thoughts and questions similar to these: “can I call native APIs form JS on the web?”, “it can’t be that simple”, “websites don’t look like apps”, “how can my web code work offline?”, “web apps have slow UI” and more. This session will take the top 10 myths surrounding Hosted Web Apps and debunk them through code samples, demos and videos. It will cover how Hosted Web Apps can exemplify a range of native app features from offline capabilities to fast, fluid and responsive UI. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:56efc107b5ad4337807ea5d900c2a292"" />",https://s.ch9.ms/Events/Build/2016/P449,Hosted_Web_Apps_Myth_6_Hosted_Web_Apps_Can’t_Run_in_the_Background.mp4,http://video.ch9.ms/ch9/bba7/46f94352-7bd9-4a6f-977a-2812a72cbba7/P449_220.jpg
Hosted Web Apps Myth #5: Hosted Web Apps Don’t Work Offline,"Jeff Burtoft, Kiril Seksenov","Hosted Web Apps on Windows 10 can do more than ever before but that isn’t always clear. People often times have thoughts and questions similar to these: “can I call native APIs form JS on the web?”, “it can’t be that simple”, “websites don’t look like apps”, “how can my web code work offline?”, “web apps have slow UI” and more. This session will take the top 10 myths surrounding Hosted Web Apps and debunk them through code samples, demos and videos. It will cover how Hosted Web Apps can exemplify a range of native app features from offline capabilities to fast, fluid and responsive UI. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:ef5048dc8b214f1e8cf4a5d900c2a289"" />",https://s.ch9.ms/Events/Build/2016/P448,Hosted_Web_Apps_Myth_5_Hosted_Web_Apps_Don’t_Work_Offline.mp4,http://video.ch9.ms/ch9/9fc6/f5725bc3-c829-43c0-afda-f7af29de9fc6/P448_220.jpg
Hosted Web Apps Myth #4: Hosted Web Apps Take Too Long to Load,"Jeff Burtoft, Kiril Seksenov","Hosted Web Apps on Windows 10 can do more than ever before but that isn’t always clear. People often times have thoughts and questions similar to these: “can I call native APIs form JS on the web?”, “it can’t be that simple”, “websites don’t look like apps”, “how can my web code work offline?”, “web apps have slow UI” and more. This session will take the top 10 myths surrounding Hosted Web Apps and debunk them through code samples, demos and videos. It will cover how Hosted Web Apps can exemplify a range of native app features from offline capabilities to fast, fluid and responsive UI. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:609aa3d67dd1452f9576a5d900c2a281"" />",https://s.ch9.ms/Events/Build/2016/P447,Hosted_Web_Apps_Myth_4_Hosted_Web_Apps_Take_Too_Long_to_Load.mp4,http://video.ch9.ms/ch9/fedf/6eac8392-1ad3-4f61-b19a-4a338f7efedf/P447_220.jpg
Hosted Web Apps Myth #3:  Hosted Web Apps Aren’t Good for Games,"Jeff Burtoft, Kiril Seksenov","Hosted Web Apps on Windows 10 can do more than ever before but that isn’t always clear. People often times have thoughts and questions similar to these: “can I call native APIs form JS on the web?”, “it can’t be that simple”, “websites don’t look like apps”, “how can my web code work offline?”, “web apps have slow UI” and more. This session will take the top 10 myths surrounding Hosted Web Apps and debunk them through code samples, demos and videos. It will cover how Hosted Web Apps can exemplify a range of native app features from offline capabilities to fast, fluid and responsive UI. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:698fdaf6bc1a4092b0f3a5d900c2a275"" />",https://s.ch9.ms/Events/Build/2016/P446,Hosted_Web_Apps_Myth_3_Hosted_Web_Apps_Aren’t_Good_for_Games.mp4,http://video.ch9.ms/ch9/8ca5/09327540-d2d2-4335-8478-07b6f5438ca5/P446_220.jpg
Hosted Web Apps Myth #2:  You Can Tell It’s a Web Site,"Jeff Burtoft, Kiril Seksenov","Hosted Web Apps on Windows 10 can do more than ever before but that isn’t always clear. People often times have thoughts and questions similar to these: “can I call native APIs form JS on the web?”, “it can’t be that simple”, “websites don’t look like apps”, “how can my web code work offline?”, “web apps have slow UI” and more. This session will take the top 10 myths surrounding Hosted Web Apps and debunk them through code samples, demos and videos. It will cover how Hosted Web Apps can exemplify a range of native app features from offline capabilities to fast, fluid and responsive UI. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:db13fbb910874253b162a5d900c2a26b"" />",https://s.ch9.ms/Events/Build/2016/P445,Hosted_Web_Apps_Myth_2_You_Can_Tell_It’s_a_Web_Site.mp4,http://video.ch9.ms/ch9/ad64/0f9acc7c-ec1d-418c-a604-deba30f8ad64/P445_220.jpg
Hosted Web Apps Myth #1:  I Have to Rewrite My Web Site to Ship It as an App,"Jeff Burtoft, Kiril Seksenov","Hosted Web Apps on Windows 10 can do more than ever before but that isn’t always clear. People often times have thoughts and questions similar to these: “can I call native APIs form JS on the web?”, “it can’t be that simple”, “websites don’t look like apps”, “how can my web code work offline?”, “web apps have slow UI” and more. This session will take the top 10 myths surrounding Hosted Web Apps and debunk them through code samples, demos and videos. It will cover how Hosted Web Apps can exemplify a range of native app features from offline capabilities to fast, fluid and responsive UI. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:ece7a6a9de1e4be082a3a5d900c2a25e"" />",https://s.ch9.ms/Events/Build/2016/P444,Hosted_Web_Apps_Myth_1_I_Have_to_Rewrite_My_Web_Site_to_Ship_It_as_an_App.mp4,http://video.ch9.ms/ch9/5518/661d3625-6e98-4938-8152-f85a4cbb5518/P444_220.jpg
Enhance App Discovery & Re-Engagement Through App & Actions Deep Linking,Vincent Wehren,"Learn how to reach the millions of users of Bing, Cortana, Outlook, and more by enabling app deep linking using standards-based markup &amp; protocols. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:7a0c169dedf343df96cfa5d900c2a23c"" />",https://s.ch9.ms/Events/Build/2016/P440,Enhance_App_Discovery_&_Re-Engagement_Through_App_&_Actions_Deep_Linking.mp4,http://video.ch9.ms/ch9/fcf1/2db0cbbb-2ff3-470a-9370-adab86d5fcf1/P440_220.jpg
Saving Development Time with Windows App Studio's Windows 10 UWP NuGet Packages,Peter Kruger,"Recorded session will cover the Windows App Studio NuGet packages for Windows 10 controls (~2 min) and will show how easy it is to implement into any Windows 10 solution in visual studio (~3 min). <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:c3f41b6590ae408989e9a5d900c29fb1"" />",https://s.ch9.ms/Events/Build/2016/P439,Saving_Development_Time_with_Windows_App_Studio's_Windows_10_UWP_NuGet_Packages.mp4,http://video.ch9.ms/ch9/1227/0a50fc00-5650-4908-8005-82e57af21227/P439_220.jpg
Easily and Quickly Create Apps for Small Business Clients Using Windows App Studio,Peter Kruger,"Recorded session will cover the features and templates in Windows App Studio for small businesses and explain how the foundation of a great app can be created in under and hour (4 min). The session will then mention ways to expand the functionality of the app by extending the code in vs (3 minutes) <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:415d8a9dd0ff42e2a11da5d900c29f90"" />",https://s.ch9.ms/Events/Build/2016/P438,Easily_and_Quickly_Create_Apps_for_Small_Business_Clients_Using_Windows_App_Studio.mp4,http://video.ch9.ms/ch9/c0f8/18d03306-aa83-487e-ab88-f966e86ac0f8/P438_220.jpg
Device Guard Compatible Application Development – Getting Your App into the Circle of Trust,"Scott Anderson, Klaudia Leja","Device Guard provides a way to lock down systems so that they only run trusted applications. Security conscious organizations are deploying Device Guard across increasing numbers of machines, so it is important for developers to ensure their applications work well with Device Guard. This session will explain how developers can ensure their applications are optimized for the security benefits provided by DG and demonstrate tools and services to make it easier for IT Devs to bring their applications into the circle of trust in their organization. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:202ada6c3bd7451d80e0a5d900c29f7b"" />",https://s.ch9.ms/Events/Build/2016/P435,Device_Guard_Compatible_Application_Development_–_Getting_Your_App_into_the_Circle_of_Trust.mp4,http://video.ch9.ms/ch9/9096/f1992caa-46ae-4833-bb0d-00036d2f9096/P435_220.jpg
Developing and Supporting Apps for Windows as a Service,Rama Shastri,"As Microsoft moves towards a Windows as a Service model, application development cycles will need to evolve to cater to the faster release cadence. This session will explain how to decouple the application release from the Windows release cycle. We will also talk about shortening test cycles by leveraging app health data to mitigate risks. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:a44cdb267955481f82bfa5d900c29f5a"" />",https://s.ch9.ms/Events/Build/2016/P433,Developing_and_Supporting_Apps_for_Windows_as_a_Service.mp4,http://video.ch9.ms/ch9/e4f8/011cdb79-b8cf-4988-b225-33f21291e4f8/P433_220.jpg
Azure Tools for Visual Studio (Azure SDK for .NET 2.9),Paul Yuknewicz (MSFT),"Check out all the new March 2016 updates in Azure tools for cloud developers deploying and diagnosing distributed applications and services. &nbsp;You will see updates to the Azure tools for Visual Studio that set you up to deploy your infrastructure as code using ARM, and better diagnose your application by emit both application and instrumentation using Azure Diagnostics (WAD) and Application Insights (AI) so you can diagnose a more complete topology. &nbsp;You will see how you can use our new Service Profiler (preview) developer service to sample, identify and fix challenging performance degrades. &nbsp;Last we will show you additional companion tools like the lightweight ARM tools extension for Visual Studio Code, and the standalone cross-platform Storage Explorer for Mac, Linux, and Windows that now supports Tables, Table queries, Queues, encryption, SAS attach, and more. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:146f2930f1bc47b9b724a5d900c29f52"" />",https://s.ch9.ms/Events/Build/2016/P432,Azure_Tools_for_Visual_Studio_(Azure_SDK_for_.NET_2.9).mp4,http://video.ch9.ms/ch9/ebfc/9887c2a5-d345-4f4c-a1e4-4f8d96a8ebfc/P432_220.jpg
Data Integration in the Cloud and Building Data Analytics Pipelines,Anand Subbaraj,"In this demo-driven session, learn by example about the tools available for seamless data integration in the cloud with Azure Data Factory, Azure Data Lake Store and Azure Data Lake Analytics, SQL Data Warehouse, on-premises Hadoop, other data sources and more! Hybrid cloud scenarios are becoming more and more common as organizations need to combine and transform both on-premises and cloud data for analytics and business insights. Imagine a data integration experience where it doesn’t matter where your data resides or where your processing executes, and an experience where you can monitor and manage all of your data processing from a single pane of glass. With Azure Data Factory (ADF), you can easily compose Azure services and diverse data sources into highly available, fault-tolerant data pipelines. This session will include a live demonstration of how to build and manage scalable analytics pipelines that can be applied to real world use cases in the Cortana Analytics ecosystem like device telemetry analysis, automated risk processing and customer profiling. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:98c7c07eb3234c21b957a5d900c29f4b"" />",https://s.ch9.ms/Events/Build/2016/P430,Data_Integration_in_the_Cloud_and_Building_Data_Analytics_Pipelines.mp4,http://video.ch9.ms/ch9/8c35/043cc7d9-cd6f-4e80-a45f-759c00558c35/P430_220.jpg
Using the Right Networking API for Your UWP App,"Himadri Sarkar, Sidharth Nabar","The Universal Windows Platform (UWP) has a diverse set of networking APIs to enable developers to implement a wide range of scenarios. For many networking scenarios, there are multiple options available - Which API should a developer use for a given scenario? What are the tradeoffs of using one over the other? This talk helps answer these questions by walking through some broad networking scenarios and discussing how to choose the right API for each of them. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:31ed86bcc17e4eaab8e8a5d900c29f25"" />",https://s.ch9.ms/Events/Build/2016/P426,Using_the_Right_Networking_API_for_Your_UWP_App.mp4,http://video.ch9.ms/ch9/9e16/7dcc722b-2d8f-4fa2-9c67-1d64d25f9e16/P426_220.jpg
Business-to-Consumer Identity Management with Azure Active Directory B2C,Swaroop  Krishnamurthy,"Consumer identities are at the core of every consumer-facing application. Developers who manage them are facing growing challenges around cost, scalability and security. In this session, you will learn about Azure Active Directory B2C, an enterprise-grade, multi-tenant, cloud service that makes it easy to add secure consumer sign-up, sign-in, profile management &amp; password reset. Consumers can use their social accounts (Facebook, Google or Microsoft account) or create new credentials to access these applications. Azure Active Directory B2C provides fully customizable user experiences, is standards-based and works cross-platform. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:d5bd142de00145929e86a5d900c29f1e"" />",https://s.ch9.ms/Events/Build/2016/P423,Business-to-Consumer_Identity_Management_with_Azure_Active_Directory_B2C.mp4,http://video.ch9.ms/ch9/afb6/d2e5d44e-6f7c-4f1a-ab1e-3d7bc243afb6/P423_220.jpg
Bring a Web App to Windows in Under 5 Minutes with Windows App Studio,Peter Kruger,"Recorded session will cover a walkthrough of converting a web app into a Windows Hosted Web App (~2:30min) and will mention how to extend in vs to add more advanced functionality (2 min). <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:521d96142d974c7fb116a5d900c29f0b"" />",https://s.ch9.ms/Events/Build/2016/P417,Bring_a_Web_App_to_Windows_in_Under_5_Minutes_with_Windows_App_Studio.mp4,http://video.ch9.ms/ch9/9112/8aedde12-0c15-40fe-b23c-1b3788f09112/P417_220.jpg
Beyond Beacons: Proximal Awareness with Bluetooth LE,Kiran Pathakota,"Windows introduced support for Beacons at //Build 2015. Now, we explore some common use cases for Beacons and how they tie in with the rest of the Bluetooth APIs. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:8c25bcf072e94df2a5dfa5d900c29f03"" />",https://s.ch9.ms/Events/Build/2016/P416,Beyond_Beacons_Proximal_Awareness_with_Bluetooth_LE.mp4,http://video.ch9.ms/ch9/51a0/22113b03-5b29-4855-b667-267cee2951a0/P416_220.jpg
Bluetooth Device Companion Apps for Windows 10,Kiran Pathakota,"Don't leave your device without a companion! Ease user frustration and market yourselves to potential customers by delivering a performant app experience on Windows 10. With the new Bluetooth in app pairing APIs, it is easy to guide users down the righteous path and prevent common pitfalls of the pairing process. Learn how to query for nearby Bluetooth devices, gain user consent and quickly set up your Bluetooth LE device. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:cbb403e8e62e42c1a0aaa5d900c29efa"" />",https://s.ch9.ms/Events/Build/2016/P415,Bluetooth_Device_Companion_Apps_for_Windows_10.mp4,http://video.ch9.ms/ch9/552c/f56685d0-5f61-43fc-b95e-b8ea8425552c/P415_220.jpg
Large-Scale Compute with Azure Batch,Mark Scurrell,"Azure Batch enables large-scale parallel and compute-intensive workloads to be easily and efficiently run in the Azure; execute your new or existing applications on tens to tens of thousands of VM’s.&nbsp; In this demo-intensive session you’ll see and learn about the many capabilities of Azure Batch, including some brand new features. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:8810c38cefcb478f96cfa5d900c29edc"" />",https://s.ch9.ms/Events/Build/2016/P411,Large-Scale_Compute_with_Azure_Batch.mp4,http://video.ch9.ms/ch9/c973/9c6a53cd-9ffe-4497-b31e-ebdb9fb9c973/P411_220.jpg
Building Cross-Platform Enterprise Mobile Apps with Visual Studio and Azure App Service,Donna Malayeri,"Great apps run on any device and connect to the cloud. Learn how Azure App Service helps build great connected mobile experiences, including single sign-on, push notifications, offline data sync, and connectivity to on-premises systems. Use Mobile App client SDKs to build a native experience on multiple platforms, including Xamarin, Windows, iOS, and Android. It is now easier than ever to add a mobile app to your existing enterprise apps! <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:e657dd3f5acd4712a1cda5d900c29ec0"" />",https://s.ch9.ms/Events/Build/2016/P408,Building_Cross-Platform_Enterprise_Mobile_Apps_with_Visual_Studio_and_Azure_App_Service.mp4,http://video.ch9.ms/ch9/5e14/2c93f6da-c98e-47ba-b484-ae7a64a55e14/P408_220.jpg
Advanced File Searching in UWP,Adam Wilson (APPMODEL),"By leveraging the same local search technology as Cortana, File Explorer, Edge, and others, apps can help users find the data they need when they need it. This talk will cover: - How Edge stores and displays history results in the address bar - How Cortana, Settings app, and the control panel search through the settings on your machine - Leveraging the full power of the shell property system in your app. Viewers will be able to go back and add fast local search to their apps and delight users with the same (and better) functionality as first party apps. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:3d5e64b7bcf24a50b0bea5d900c29e56"" />",https://s.ch9.ms/Events/Build/2016/P407,Advanced_File_Searching_in_UWP.mp4,http://video.ch9.ms/ch9/2b7c/2024cf69-61fc-417c-921f-b121c4db2b7c/P407_220.jpg
Adding Manipulations in the Visual Layer to Create Customized & Responsive Interactive Experiences,"Anthony Young, Lindsay Kubasik","Learn to enhance the user experience of your app and unleash your creativity with the new exciting element of interactivity linked to the powerful functionality of the animation engine in the visual layer. This talk show how to take animations beyond a typical time-based system and use input as the driving factor. We will start with a quick recap of how manipulations work today before moving on to building new creative and responsive interactive UI experiences for your Universal Windows Application. We will focus on how to hook up input animations to the flexibility of the visual layer to enable more customized scrolling and zooming experiences, input driven animation of effects, and other exciting responsive and interactive UI such as gesture based navigation. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:ada85027073141258fdba5d900c29e4d"" />",https://s.ch9.ms/Events/Build/2016/P405,Adding_Manipulations_in_the_Visual_Layer_to_Create_Customized_&_Responsive_Interactive_Experiences.mp4,http://video.ch9.ms/ch9/cbfe/b436d378-ce4c-4def-b00f-93b1e316cbfe/P405_220.jpg
A Developers Guide to Azure SQL Data Warehouse,James Rowland-Jones,"Azure SQL Data Warehouse is a scale out database service designed to answer your ad hoc queries and questions. By spreading your data across distributions SQL Data Warehouse is designed for analytics at scale. To make the most of your database there are opportunities to tailor your table design and optimize for performance. This session will cover the fundamentals of data distribution, table design and query optimization; helping you to deliver the best performance for your solution. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:e0bff457e1584a3092bfa5d900c29db8"" />",https://s.ch9.ms/Events/Build/2016/P402,A_Developers_Guide_to_Azure_SQL_Data_Warehouse.mp4,http://video.ch9.ms/ch9/e068/99093dba-eadf-4041-a079-62ad351de068/P402_220.jpg
Running Bash on Ubuntu on Windows!,"Russ Alexander, Rich Turner","Running Bash on Ubuntu on Windows? Really? Yes, REALLY! In this video we’ll outline why and how we’re enabling Windows 10 to run native Linux apps and tools directly on Windows! Watch to learn more and to see Bash running on Ubuntu on Windows! <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:5a3b767f7ff24ce19f3ca5d900c2a3d0"" />",https://s.ch9.ms/Events/Build/2016/P488,Running_Bash_on_Ubuntu_on_Windows!.mp4,http://video.ch9.ms/ch9/5db6/8ee786b7-9fc5-45bf-94d0-16ea91765db6/P488_220.jpg
Secure and Monitor Your Network,"Vijay Tinnanur, Siva Edupuganti","Context of Network Security when you build applications on cloud; How can you monitor your network and gain additional insights <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:a6db3889497d44ffa984a5d5016a99a2"" />",https://s.ch9.ms/Events/Build/2016/T699,Secure_and_Monitor_Your_Network.mp4,http://video.ch9.ms/ch9/a55b/93b2d8cb-6f5b-4082-a743-0027e9b3a55b/SecureandMonitorYourNetwork_220.jpg
Skype for Business Partner Integration Examples,"Richard Taylor, David Newman","Skype for Business enables developers to enhance the capabilities of their applications and ecosystems. Come see some real-world examples of integration scenarios that may spark your imagination! <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:424d31006b374e679297a5d5016a9999"" />",https://s.ch9.ms/Events/Build/2016/T698,Skype_for_Business_Partner_Integration_Examples.mp4,https://sec.ch9.ms/sessions/build/2016/T698.jpg
Unlock Real-Time Predictive Insights From the Internet of Things,Santosh Balasubramanian,"Real-time placeholder, due on 3/15 EOD <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:595b546a90ce4d13beb2a5d5016a998d"" />",https://s.ch9.ms/Events/Build/2016/T697-R1,Unlock_Real-Time_Predictive_Insights_From_the_Internet_of_Things.mp4,http://video.ch9.ms/ch9/c2a1/74227f07-0b67-4cdf-b4d6-7daee6adc2a1/T697R1_220.jpg
U-SQL: 0-60 for Big Data with .NET,Matthew Winkler,"With&nbsp;Azure Data Lake we’re introducing a new SQL-based language called U-SQL, that combines the familiarity of SQL with&nbsp;C#&nbsp;extensions&nbsp;to make&nbsp;Big Data processing&nbsp;easy, and fun.&nbsp;In this presentation you will learn the concepts behind the new language and see examples of how to use it to query unstructured, semi-structured and structured data <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:d1cdb0cec1af493fa2d7a5d5016a997d"" />",https://s.ch9.ms/Events/Build/2016/T696-R1,U-SQL_0-60_for_Big_Data_with_.NET.mp4,https://sec.ch9.ms/sessions/build/2016/T696.jpg
Building and Managing APIs on App Service,"Vladimir Vinogradsky, Darrell Miller","If you build Web APIs, internal or external, API Management is all about saving you time and money. It can make APIs easier to discover, easier to use, better controlled, perform better and more reliable. API Management takes advantage of the HTTP layered architecture to allow you to transparently add out-of-the-box functionality to your existing Web APIs. This talk will show you how to leverage API management to enable all kinds of functionality like HTTP caching, automatic retry handling, transparent versioning, tenant sharding, API façading, response transformation, fragment caching, JWT authentication, logging and monitoring. API Management lets you focus on building making your APIs awesome and not waste time re-inventing standard HTTP mechanisms. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:5fb372c70dc84e30a2aca5d5016a9975"" />",https://s.ch9.ms/Events/Build/2016/T695,Building_and_Managing_APIs_on_App_Service.mp4,http://video.ch9.ms/ch9/7110/7f3947de-6df0-4cb4-b00a-f0f42a217110/T695ReUpload_220.jpg
Automate Business Process With Logic Apps (Deep Dive),"Kevin Lam, Jim Harrer","See how you can use Azure Logic Apps to automate business process that integrate with services in the cloud without using code. This session will introduce Logic App capabilities including its designer and DSL, how to take advantage of its management capabilities and exposing programmatic triggers with webhooks. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:2bcab74549784fd3b9f0a5d5016a996f"" />",https://s.ch9.ms/Events/Build/2016/T694,Automate_Business_Process_With_Logic_Apps_(Deep_Dive).mp4,https://sec.ch9.ms/sessions/build/2016/T694.jpg
